Gilt Name;Close of Business Date;ISIN;Type;Coupon;Maturity;Clean Price;Dirty Price;Yield;Mod Duration;Accrued Interest;Closest Ex-Dividend Date 
UKT 6 12/28;06.12.17;GB0002404191;Conventional;6;07.12.28;148,37;148,37;1,273564;8,718894;N/A;28.11.17
UKT 6 12/28;06.06.18;GB0002404191;Conventional;6;07.12.28;143,98;143,98;1,465586;8,363691;N/A;29.05.18
UKT 6 12/28;06.12.18;GB0002404191;Conventional;6;07.12.28;145,33;145,33;1,180762;8,069785;N/A;28.11.18
UKT 6 12/28;06.06.19;GB0002404191;Conventional;6;07.12.28;147,539;147,539;0,794693;7,775689;N/A;29.05.19
UKT 6 12/28;04.12.20;GB0002404191;Conventional;6;07.12.28;145,597;145,597;0,24166;6,763957;N/A;26.11.20
UKT 6 12/28;04.06.21;GB0002404191;Conventional;6;07.12.28;139,263;139,263;0,631684;6,367732;N/A;26.05.21
UKT 6 12/28;06.12.21;GB0002404191;Conventional;6;07.12.28;137,289;137,289;0,560379;6,002702;N/A;26.11.21
UKT 6 12/28;06.06.22;GB0002404191;Conventional;6;07.12.28;124,494;124,494;1,967164;5,547229;N/A;25.05.22
UKT 4.25 06/32;06.12.17;GB0004893086;Conventional;4,25;07.06.32;134,94;134,94;1,550116;11,448075;N/A;28.11.17
UKT 4.25 06/32;06.06.18;GB0004893086;Conventional;4,25;07.06.32;132,02;132,02;1,674743;11,096482;N/A;29.05.18
UKT 4.25 06/32;06.12.18;GB0004893086;Conventional;4,25;07.06.32;134,32;134,32;1,442994;10,823023;N/A;28.11.18
UKT 4.25 06/32;06.06.19;GB0004893086;Conventional;4,25;07.06.32;138,99;138,99;1,036429;10,572563;N/A;29.05.19
UKT 4.25 06/32;04.12.20;GB0004893086;Conventional;4,25;07.06.32;142,4;142,4;0,460348;9,624385;N/A;26.11.20
UKT 4.25 06/32;04.06.21;GB0004893086;Conventional;4,25;07.06.32;134,73;134,73;0,922548;9,198551;N/A;26.05.21
UKT 4.25 06/32;06.12.21;GB0004893086;Conventional;4,25;07.06.32;135,3;135,3;0,748055;8,862018;N/A;26.11.21
UKT 4.25 06/32;06.06.22;GB0004893086;Conventional;4,25;07.06.32;117,88;117,88;2,243927;8,320707;N/A;25.05.22
UKT 8 06/21;06.12.17;GB0009997999;Conventional;8;07.06.21;125,689;125,689;0,575555;3,159298;N/A;28.11.17
UKT 8 06/21;06.06.18;GB0009997999;Conventional;8;07.06.21;121,427;121,427;0,762108;2,744659;N/A;29.05.18
UKT 8 06/21;06.12.18;GB0009997999;Conventional;8;07.06.21;118,104;118,104;0,683939;2,323862;N/A;28.11.18
UKT 8 06/21;06.06.19;GB0009997999;Conventional;8;07.06.21;114,927;114,927;0,490668;1,891371;N/A;29.05.19
UKT 8 06/21;04.12.20;GB0009997999;Conventional;8;07.06.21;104,028;104,028;-0,05398;0,498764;N/A;26.11.20
UKT 5 03/25;06.09.17;GB0030880693;Conventional;5;07.03.25;131,41;131,41;0,694685;6,496884;N/A;29.08.17
UKT 5 03/25;06.03.18;GB0030880693;Conventional;5;07.03.25;124,932;124,932;1,266775;6,07912;N/A;26.02.18
UKT 5 03/25;06.09.18;GB0030880693;Conventional;5;07.03.25;124,354;124,354;1,106524;5,704219;N/A;29.08.18
UKT 5 03/25;06.03.19;GB0030880693;Conventional;5;07.03.25;123,502;123,502;0,959749;5,320126;N/A;26.02.19
UKT 5 03/25;04.09.20;GB0030880693;Conventional;5;07.03.25;122,863;122,863;-0,071579;4,134781;N/A;26.08.20
UKT 5 03/25;06.09.21;GB0030880693;Conventional;5;07.03.25;116,726;116,726;0,201833;3,272416;N/A;26.08.21
UKT 5 03/25;04.03.22;GB0030880693;Conventional;5;07.03.25;111,71;111,71;1,026265;2,819675;N/A;24.02.22
UKT 4.25 03/36;06.09.17;GB0032452392;Conventional;4,25;07.03.36;143,14;143,14;1,557128;13,900893;N/A;29.08.17
UKT 4.25 03/36;06.03.18;GB0032452392;Conventional;4,25;07.03.36;136,31;136,31;1,865808;13,481913;N/A;26.02.18
UKT 4.25 03/36;06.09.18;GB0032452392;Conventional;4,25;07.03.36;138,68;138,68;1,687966;13,257338;N/A;29.08.18
UKT 4.25 03/36;06.03.19;GB0032452392;Conventional;4,25;07.03.36;139,72;139,72;1,577176;12,997564;N/A;26.02.19
UKT 4.25 03/36;04.09.20;GB0032452392;Conventional;4,25;07.03.36;154,31;154,31;0,580928;12,359216;N/A;26.08.20
UKT 4.25 03/36;06.09.21;GB0032452392;Conventional;4,25;07.03.36;145,98;145,98;0,868289;11,618622;N/A;26.08.21
UKT 4.25 03/36;04.03.22;GB0032452392;Conventional;4,25;07.03.36;136,39;136,39;1,382178;11,165104;N/A;24.02.22
UKT 4.75 12/38;06.12.17;GB00B00NY175;Conventional;4,75;07.12.38;152,47;152,47;1,752664;14,930438;N/A;28.11.17
UKT 4.75 12/38;06.06.18;GB00B00NY175;Conventional;4,75;07.12.38;150,28;150,28;1,804761;14,63346;N/A;29.05.18
UKT 4.75 12/38;06.12.18;GB00B00NY175;Conventional;4,75;07.12.38;151,6;151,6;1,696713;14,417477;N/A;28.11.18
UKT 4.75 12/38;06.06.19;GB00B00NY175;Conventional;4,75;07.12.38;159,75;159,75;1,278394;14,340387;N/A;29.05.19
UKT 4.75 12/38;04.12.20;GB00B00NY175;Conventional;4,75;07.12.38;167,57;167,57;0,735319;13,68072;N/A;26.11.20
UKT 4.75 12/38;04.06.21;GB00B00NY175;Conventional;4,75;07.12.38;156,22;156,22;1,183736;13,203393;N/A;26.05.21
UKT 4.75 12/38;06.12.21;GB00B00NY175;Conventional;4,75;07.12.38;161,59;161,59;0,850991;13,018961;N/A;26.11.21
UKT 4.75 12/38;06.06.22;GB00B00NY175;Conventional;4,75;07.12.38;130,58;130,58;2,480319;12,155317;N/A;25.05.22
UKT 4.75 03/20;06.09.17;GB00B058DQ55;Conventional;4,75;07.03.20;111,568;111,568;0,114827;2,392311;N/A;29.08.17
UKT 4.75 03/20;06.03.18;GB00B058DQ55;Conventional;4,75;07.03.20;107,949;107,949;0,738731;1,927282;N/A;26.02.18
UKT 4.75 03/20;06.09.18;GB00B058DQ55;Conventional;4,75;07.03.20;106,011;106,011;0,71402;1,461337;N/A;29.08.18
UKT 4.75 03/20;06.03.19;GB00B058DQ55;Conventional;4,75;07.03.20;103,982;103,982;0,745715;0,989439;N/A;26.02.19
UKT 4.25 12/55;06.12.17;GB00B06YGN05;Conventional;4,25;07.12.55;172,25;172,25;1,673016;23,455839;N/A;28.11.17
UKT 4.25 12/55;06.06.18;GB00B06YGN05;Conventional;4,25;07.12.55;168,88;168,88;1,741076;23,123493;N/A;29.05.18
UKT 4.25 12/55;06.12.18;GB00B06YGN05;Conventional;4,25;07.12.55;168,3;168,3;1,739135;22,917001;N/A;28.11.18
UKT 4.25 12/55;06.06.19;GB00B06YGN05;Conventional;4,25;07.12.55;183,57;183,57;1,345043;23,367068;N/A;29.05.19
UKT 4.25 12/55;04.12.20;GB00B06YGN05;Conventional;4,25;07.12.55;200,97;200,97;0,887554;23,368955;N/A;26.11.20
UKT 4.25 12/55;04.06.21;GB00B06YGN05;Conventional;4,25;07.12.55;182,46;182,46;1,283975;22,527362;N/A;26.05.21
UKT 4.25 12/55;06.12.21;GB00B06YGN05;Conventional;4,25;07.12.55;203,75;203,75;0,77372;23,020977;N/A;26.11.21
UKT 4.25 12/55;06.06.22;GB00B06YGN05;Conventional;4,25;07.12.55;141,36;141,36;2,436583;20,401129;N/A;25.05.22
UKT 4.25 12/46;06.12.17;GB00B128DP45;Conventional;4,25;07.12.46;154,76;154,76;1,813507;19,253134;N/A;28.11.17
UKT 4.25 12/46;06.06.18;GB00B128DP45;Conventional;4,25;07.12.46;152,9;152,9;1,852553;18,975936;N/A;29.05.18
UKT 4.25 12/46;06.12.18;GB00B128DP45;Conventional;4,25;07.12.46;152,96;152,96;1,825685;18,765431;N/A;28.11.18
UKT 4.25 12/46;06.06.19;GB00B128DP45;Conventional;4,25;07.12.46;164,54;164,54;1,410432;18,922495;N/A;29.05.19
UKT 4.25 12/46;04.12.20;GB00B128DP45;Conventional;4,25;07.12.46;177,27;177,27;0,907137;18,567877;N/A;26.11.20
UKT 4.25 12/46;04.06.21;GB00B128DP45;Conventional;4,25;07.12.46;163,24;163,24;1,320844;17,955116;N/A;26.05.21
UKT 4.25 12/46;06.12.21;GB00B128DP45;Conventional;4,25;07.12.46;175,02;175,02;0,8945;18,01682;N/A;26.11.21
UKT 4.25 12/46;06.06.22;GB00B128DP45;Conventional;4,25;07.12.46;131,37;131,37;2,52513;16,497666;N/A;25.05.22
UKT 4.25 12/27;06.12.17;GB00B16NNR78;Conventional;4,25;07.12.27;128,36;128,36;1,227671;8,440821;N/A;28.11.17
UKT 4.25 12/27;06.06.18;GB00B16NNR78;Conventional;4,25;07.12.27;125,474;125,474;1,379727;8,060638;N/A;29.05.18
UKT 4.25 12/27;06.12.18;GB00B16NNR78;Conventional;4,25;07.12.27;127,056;127,056;1,086281;7,72145;N/A;28.11.18
UKT 4.25 12/27;06.06.19;GB00B16NNR78;Conventional;4,25;07.12.27;129,125;129,125;0,712609;7,378165;N/A;29.05.19
UKT 4.25 12/27;04.12.20;GB00B16NNR78;Conventional;4,25;07.12.27;128,593;128,593;0,143301;6,246323;N/A;26.11.20
UKT 4.25 12/27;04.06.21;GB00B16NNR78;Conventional;4,25;07.12.27;123,904;123,904;0,506888;5,824211;N/A;26.05.21
UKT 4.25 12/27;06.12.21;GB00B16NNR78;Conventional;4,25;07.12.27;121,729;121,729;0,562012;5,415653;N/A;26.11.21
UKT 4.25 12/27;06.06.22;GB00B16NNR78;Conventional;4,25;07.12.27;112,062;112,062;1,928031;4,950299;N/A;25.05.22
UKT 5 03/18;06.09.17;GB00B1VWPC84;Conventional;5;07.03.18;102,438;102,438;0,122052;0,49559;N/A;29.08.17
UKT 4.5 12/42;06.12.17;GB00B1VWPJ53;Conventional;4,5;07.12.42;153,98;153,98;1,806938;17,122744;N/A;28.11.17
UKT 4.5 12/42;06.06.18;GB00B1VWPJ53;Conventional;4,5;07.12.42;151,95;151,95;1,852493;16,836737;N/A;29.05.18
UKT 4.5 12/42;06.12.18;GB00B1VWPJ53;Conventional;4,5;07.12.42;152,78;152,78;1,786216;16,633191;N/A;28.11.18
UKT 4.5 12/42;06.06.19;GB00B1VWPJ53;Conventional;4,5;07.12.42;162,76;162,76;1,368057;16,667759;N/A;29.05.19
UKT 4.5 12/42;04.12.20;GB00B1VWPJ53;Conventional;4,5;07.12.42;172,9;172,9;0,857074;16,152415;N/A;26.11.20
UKT 4.5 12/42;04.06.21;GB00B1VWPJ53;Conventional;4,5;07.12.42;160,43;160,43;1,276937;15,620816;N/A;26.05.21
UKT 4.5 12/42;06.12.21;GB00B1VWPJ53;Conventional;4,5;07.12.42;169,37;169,37;0,876223;15,555345;N/A;26.11.21
UKT 4.5 12/42;06.06.22;GB00B1VWPJ53;Conventional;4,5;07.12.42;131,41;131,41;2,527319;14,388504;N/A;25.05.22
UKT 4.75 12/30;06.12.17;GB00B24FF097;Conventional;4,75;07.12.30;138,91;138,91;1,454253;10,319576;N/A;28.11.17
UKT 4.75 12/30;06.06.18;GB00B24FF097;Conventional;4,75;07.12.30;135,66;135,66;1,592531;9,966491;N/A;29.05.18
UKT 4.75 12/30;06.12.18;GB00B24FF097;Conventional;4,75;07.12.30;137,86;137,86;1,326753;9,684301;N/A;28.11.18
UKT 4.75 12/30;06.06.19;GB00B24FF097;Conventional;4,75;07.12.30;141,68;141,68;0,921814;9,412073;N/A;29.05.19
UKT 4.75 12/30;04.12.20;GB00B24FF097;Conventional;4,75;07.12.30;143,22;143,22;0,34849;8,428972;N/A;26.11.20
UKT 4.75 12/30;04.06.21;GB00B24FF097;Conventional;4,75;07.12.30;136,169;136,169;0,790478;8,015558;N/A;26.05.21
UKT 4.75 12/30;06.12.21;GB00B24FF097;Conventional;4,75;07.12.30;135,712;135,712;0,657015;7,663455;N/A;26.11.21
UKT 4.75 12/30;06.06.22;GB00B24FF097;Conventional;4,75;07.12.30;120,675;120,675;2,083318;7,166713;N/A;25.05.22
UKT 4.25 12/49;06.12.17;GB00B39R3707;Conventional;4,25;07.12.49;160,72;160,72;1,76011;20,702068;N/A;28.11.17
UKT 4.25 12/49;06.06.18;GB00B39R3707;Conventional;4,25;07.12.49;158,09;158,09;1,819159;20,400122;N/A;29.05.18
UKT 4.25 12/49;06.12.18;GB00B39R3707;Conventional;4,25;07.12.49;157,98;157,98;1,80103;20,195566;N/A;28.11.18
UKT 4.25 12/49;06.06.19;GB00B39R3707;Conventional;4,25;07.12.49;170,83;170,83;1,391998;20,448315;N/A;29.05.19
UKT 4.25 12/49;04.12.20;GB00B39R3707;Conventional;4,25;07.12.49;185,28;185,28;0,901565;20,216167;N/A;26.11.20
UKT 4.25 12/49;04.06.21;GB00B39R3707;Conventional;4,25;07.12.49;169,77;169,77;1,309034;19,534534;N/A;26.05.21
UKT 4.25 12/49;06.12.21;GB00B39R3707;Conventional;4,25;07.12.49;184,62;184,62;0,848349;19,725986;N/A;26.11.21
UKT 4.25 12/49;06.06.22;GB00B39R3707;Conventional;4,25;07.12.49;134,47;134,47;2,507549;17,861387;N/A;25.05.22
UKT 4.5 03/19;06.09.17;GB00B39R3F84;Conventional;4,5;07.03.19;106,529;106,529;0,141187;1,467312;N/A;29.08.17
UKT 4.5 03/19;06.03.18;GB00B39R3F84;Conventional;4,5;07.03.19;103,891;103,891;0,591724;0,983433;N/A;26.02.18
UKT 4.5 03/19;06.09.18;GB00B39R3F84;Conventional;4,5;07.03.19;101,925;101,925;0,643009;0,494314;N/A;29.08.18
UKT 4 03/22;06.09.17;GB00B3KJDQ49;Conventional;4;07.03.22;116,556;116,556;0,293812;4,186492;N/A;29.08.17
UKT 4 03/22;06.03.18;GB00B3KJDQ49;Conventional;4;07.03.22;111,993;111,993;0,938118;3,735938;N/A;26.02.18
UKT 4 03/22;06.09.18;GB00B3KJDQ49;Conventional;4;07.03.22;110,937;110,937;0,823467;3,299179;N/A;29.08.18
UKT 4 03/22;06.03.19;GB00B3KJDQ49;Conventional;4;07.03.22;109,536;109,536;0,77792;2,853194;N/A;26.02.19
UKT 4 03/22;04.09.20;GB00B3KJDQ49;Conventional;4;07.03.22;106,104;106,104;-0,066623;1,472204;N/A;26.08.20
UKT 4 03/22;06.09.21;GB00B3KJDQ49;Conventional;4;07.03.22;101,987;101,987;0,025705;0,495827;N/A;26.08.21
UKT 4.25 09/39;06.09.17;GB00B3KJDS62;Conventional;4,25;07.09.39;147,83;147,83;1,648926;15,837156;N/A;29.08.17
UKT 4.25 09/39;06.03.18;GB00B3KJDS62;Conventional;4,25;07.09.39;141;141;1,914674;15,408909;N/A;26.02.18
UKT 4.25 09/39;06.09.18;GB00B3KJDS62;Conventional;4,25;07.09.39;143,76;143,76;1,75071;15,230413;N/A;29.08.18
UKT 4.25 09/39;06.03.19;GB00B3KJDS62;Conventional;4,25;07.09.39;145,16;145,16;1,645663;15,008924;N/A;26.02.19
UKT 4.25 09/39;04.09.20;GB00B3KJDS62;Conventional;4,25;07.09.39;163,35;163,35;0,687549;14,574797;N/A;26.08.20
UKT 4.25 09/39;06.09.21;GB00B3KJDS62;Conventional;4,25;07.09.39;154,34;154,34;0,956563;13,841411;N/A;26.08.21
UKT 4.25 09/39;04.03.22;GB00B3KJDS62;Conventional;4,25;07.09.39;143,57;143,57;1,427534;13,354882;N/A;24.02.22
UKT 3.75 09/21;06.09.17;GB00B4RMG977;Conventional;3,75;07.09.21;114,018;114,018;0,227535;3,766272;N/A;29.08.17
UKT 3.75 09/21;06.03.18;GB00B4RMG977;Conventional;3,75;07.09.21;109,83;109,83;0,891149;3,308114;N/A;26.02.18
UKT 3.75 09/21;06.09.18;GB00B4RMG977;Conventional;3,75;07.09.21;108,726;108,726;0,800453;2,860411;N/A;29.08.18
UKT 3.75 09/21;06.03.19;GB00B4RMG977;Conventional;3,75;07.09.21;107,434;107,434;0,74317;2,404447;N/A;26.02.19
