Date;Number of Obs.
25.11.02;20
26.11.02;20
27.11.02;20
28.11.02;20
29.11.02;20
02.12.02;20
03.12.02;20
04.12.02;20
05.12.02;20
06.12.02;20
09.12.02;20
10.12.02;20
11.12.02;20
12.12.02;20
13.12.02;20
16.12.02;20
17.12.02;20
18.12.02;20
19.12.02;20
20.12.02;20
23.12.02;20
24.12.02;20
27.12.02;20
30.12.02;20
31.12.02;20
02.01.03;20
03.01.03;20
06.01.03;20
07.01.03;20
08.01.03;20
09.01.03;20
10.01.03;20
13.01.03;20
14.01.03;20
15.01.03;20
16.01.03;20
17.01.03;20
20.01.03;20
21.01.03;20
22.01.03;20
23.01.03;20
24.01.03;20
27.01.03;20
28.01.03;20
29.01.03;20
30.01.03;20
31.01.03;20
03.02.03;20
04.02.03;20
05.02.03;20
06.02.03;20
07.02.03;20
10.02.03;20
11.02.03;20
12.02.03;20
13.02.03;20
14.02.03;20
17.02.03;20
18.02.03;21
19.02.03;21
20.02.03;21
21.02.03;21
24.02.03;21
25.02.03;21
26.02.03;21
27.02.03;21
28.02.03;21
03.03.03;21
04.03.03;21
05.03.03;21
06.03.03;21
07.03.03;21
10.03.03;21
11.03.03;21
12.03.03;21
13.03.03;21
14.03.03;21
17.03.03;21
18.03.03;21
19.03.03;21
20.03.03;21
21.03.03;21
24.03.03;21
25.03.03;21
26.03.03;21
27.03.03;21
28.03.03;21
31.03.03;21
01.04.03;21
02.04.03;21
03.04.03;21
04.04.03;21
07.04.03;21
08.04.03;21
09.04.03;21
10.04.03;21
11.04.03;21
14.04.03;21
15.04.03;21
16.04.03;21
17.04.03;21
22.04.03;21
23.04.03;21
24.04.03;21
25.04.03;21
28.04.03;21
29.04.03;21
30.04.03;21
01.05.03;21
02.05.03;21
06.05.03;22
07.05.03;22
08.05.03;22
09.05.03;22
12.05.03;22
13.05.03;22
14.05.03;22
15.05.03;22
16.05.03;22
19.05.03;22
20.05.03;22
21.05.03;22
22.05.03;22
23.05.03;22
27.05.03;22
28.05.03;22
29.05.03;22
30.05.03;22
02.06.03;22
03.06.03;22
